target,feature,n,pearson,spearman,abs_spearman,abs_pearson
gpr_abs_residual,cov_dim_44,278,-0.16321404997556826,-0.25181309552523284,0.25181309552523284,0.16321404997556826
gpr_abs_residual,cov_dim_19,278,0.1632140499755682,0.25181309552523284,0.25181309552523284,0.1632140499755682
gpr_abs_residual,nn_dist,278,0.18404595929120765,0.2510692290193775,0.2510692290193775,0.18404595929120765
gpr_abs_residual,cov_dim_45,278,0.16558832367685236,0.25049221368649227,0.25049221368649227,0.16558832367685236
gpr_abs_residual,cov_dim_30,278,0.2891662038025757,0.24419049711121826,0.24419049711121826,0.2891662038025757
gpr_abs_residual,cov_dim_33,278,0.11684746401270321,0.2068166827539547,0.2068166827539547,0.11684746401270321
gpr_abs_residual,status,278,-0.1751369932003369,-0.19692654822058447,0.19692654822058447,0.1751369932003369
gpr_abs_residual,cov_dim_71,278,0.11844732214561778,0.18735828032366952,0.18735828032366952,0.11844732214561778
gpr_abs_residual,cov_dim_42,278,0.16743148068747463,0.18282264287316652,0.18282264287316652,0.16743148068747463
gpr_abs_residual,cov_dim_17,278,0.1739829281482407,0.1773146740384607,0.1773146740384607,0.1739829281482407
gpr_abs_residual,parent_cov_dist_mean,235,0.1341949119910037,0.16254991420938789,0.16254991420938789,0.1341949119910037
gpr_abs_residual,cov_dim_09,278,-0.17136922817983238,-0.15609890326273088,0.15609890326273088,0.17136922817983238
gpr_abs_residual,cov_dim_48,278,-0.06422516955529133,-0.15043874035621227,0.15043874035621227,0.06422516955529133
gpr_abs_residual,cov_dim_38,278,-0.11656648831307413,-0.1457273432399629,0.1457273432399629,0.11656648831307413
gpr_abs_residual,child_cov_spread_trace,177,0.13874774266938594,0.13952277256079113,0.13952277256079113,0.13874774266938594
gpr_abs_residual,cov_dim_34,278,0.13245486993904038,0.13461078627592388,0.13461078627592388,0.13245486993904038
gpr_abs_residual,cov_dim_49,278,0.025010408237242255,0.13324379997123095,0.13324379997123095,0.025010408237242255
gpr_abs_residual,cov_dim_14,278,-0.14105769289483783,-0.12868241073360423,0.12868241073360423,0.14105769289483783
gpr_abs_residual,cov_dim_10,278,0.047790676052528853,0.12395527255204786,0.12395527255204786,0.047790676052528853
gpr_abs_residual,cov_dim_66,278,0.07767456224760717,0.11970786883785564,0.11970786883785564,0.07767456224760717
gpr_abs_residual,cov_dim_00,278,0.07445257734701921,0.08498259019652775,0.08498259019652775,0.07445257734701921
gpr_abs_residual,knn25_max_dist,278,0.024632838836671053,0.08152423026000785,0.08152423026000785,0.024632838836671053
gpr_abs_residual,cov_dim_54,278,-0.03973782915638461,-0.08123886375615208,0.08123886375615208,0.03973782915638461
gpr_abs_residual,cov_dim_63,278,0.05709910289897687,0.08049011846807695,0.08049011846807695,0.05709910289897687
gpr_abs_residual,cov_dim_58,278,0.006736697729696636,0.07159099074942256,0.07159099074942256,0.006736697729696636
gpr_abs_residual,child_cov_dist_mean,254,0.07712065811999907,0.06673887649684906,0.06673887649684906,0.07712065811999907
gpr_abs_residual,cov_dim_06,278,0.009096626279085553,0.06364813668030693,0.06364813668030693,0.009096626279085553
gpr_abs_residual,neighbor_cov_dist_mean,278,0.07679041358016374,0.06142191294876022,0.06142191294876022,0.07679041358016374
gpr_abs_residual,cov_dim_50,278,0.11056035090691718,0.04501406113230391,0.04501406113230391,0.11056035090691718
gpr_abs_residual,cov_dim_25,278,-0.02574141036237722,0.031494170996456516,0.031494170996456516,0.02574141036237722
gpr_abs_residual,cov_dim_62,278,-0.022335054914247827,0.031416521608561704,0.031416521608561704,0.022335054914247827
gpr_abs_residual,cov_dim_22,278,-0.011011996896182066,0.02708123620109243,0.02708123620109243,0.011011996896182066
gpr_abs_residual,cov_dim_64,278,-0.03062378672347171,-0.025831712438592135,0.025831712438592135,0.03062378672347171
gpr_abs_residual,cov_dim_21,278,-0.047049263148789884,-0.020702910245203224,0.020702910245203224,0.047049263148789884
gpr_abs_residual,cov_dim_02,278,-0.0013505791099672848,-0.020326493695290437,0.020326493695290437,0.0013505791099672848
gpr_abs_residual,cov_dim_03,278,-0.032329040924776536,-0.02006894888937918,0.02006894888937918,0.032329040924776536
gpr_abs_residual,cov_dim_08,278,-0.009134878759312707,0.01689225624424577,0.01689225624424577,0.009134878759312707
gpr_abs_residual,gpr_residual_true_minus_mean,278,0.4352390952875271,0.015705399539320198,0.015705399539320198,0.4352390952875271
gpr_abs_residual,cov_dim_39,278,-0.015707292238945184,0.015349278405540253,0.015349278405540253,0.015707292238945184
gpr_abs_residual,cov_dim_43,278,-0.015707292238945184,0.015349278405540253,0.015349278405540253,0.015707292238945184
gpr_abs_residual,cov_dim_47,278,-0.015707292238945184,0.015349278405540253,0.015349278405540253,0.015707292238945184
gpr_abs_residual,cov_dim_51,278,-0.015707292238945184,0.015349278405540253,0.015349278405540253,0.015707292238945184
gpr_abs_residual,cov_dim_59,278,-0.015707292238945184,0.015349278405540253,0.015349278405540253,0.015707292238945184
gpr_abs_residual,cov_dim_16,278,-0.07179481799239157,0.013925254822347246,0.013925254822347246,0.07179481799239157
gpr_mean,cov_dim_52,278,-0.6340785999134887,-0.7778220268510497,0.7778220268510497,0.6340785999134887
gpr_mean,cov_dim_56,278,-0.6340785999134887,-0.7778220268510497,0.7778220268510497,0.6340785999134887
gpr_mean,cov_dim_69,278,-0.6340785999134887,-0.7778220268510497,0.7778220268510497,0.6340785999134887
