,r2,mae,rmse,pearson_corr,spearman_corr
mean,-0.16317487752313958,4.560000124241699,6.996550358229489,0.00509104940250086,-0.033681707073980084
std,0.08882039288982278,0.13978362067959094,0.2643398469129681,0.06901881866721564,0.07072878063138839
min,-0.3906770390434824,4.2391898655416576,6.5661541044309155,-0.10953709048516896,-0.19527193883947355
max,-0.023058283487985776,4.852611892992417,7.655508186646539,0.17545706232207725,0.08094237201803761
