model,eval_split,r2,mae,rmse,pearson_corr,spearman_corr
gpr_observed,held_out,0.19564085328184766,3.3248927217727853,5.822183451162767,0.5169596180045507,0.647486348423536
constant_train_mean,held_out,-0.0022555134054067505,4.192712256187829,6.499053470771811,,
