target,feature,n,pearson,spearman,abs_spearman,abs_pearson
gpr_abs_residual,undirected_degree,278,0.6996337393593067,0.6016359800051856,0.6016359800051856,0.6996337393593067
gpr_abs_residual,child_out_degree_mean,254,0.38407597364089974,0.5962500954599543,0.5962500954599543,0.38407597364089974
gpr_abs_residual,out_degree_children,278,0.708937352360451,0.5700737755555532,0.5700737755555532,0.708937352360451
gpr_abs_residual,sibling_count,278,0.6447733201160575,0.5681072664102766,0.5681072664102766,0.6447733201160575
gpr_abs_residual,cov_dim_52,278,-0.415893002790996,-0.5661474813644131,0.5661474813644131,0.415893002790996
gpr_abs_residual,cov_dim_56,278,-0.415893002790996,-0.5661474813644131,0.5661474813644131,0.415893002790996
gpr_abs_residual,cov_dim_69,278,-0.415893002790996,-0.5661474813644131,0.5661474813644131,0.415893002790996
gpr_abs_residual,parent_out_degree_mean,235,0.4830145364463211,0.5615214564157397,0.5615214564157397,0.4830145364463211
gpr_abs_residual,cov_dim_53,278,0.4149110959121062,0.5556244681127838,0.5556244681127838,0.4149110959121062
gpr_abs_residual,cov_dim_57,278,0.41304564568441904,0.5480391511939395,0.5480391511939395,0.41304564568441904
gpr_abs_residual,child_cov_spread_anisotropy,172,0.3179302703657601,0.5439163586544175,0.5439163586544175,0.3179302703657601
gpr_abs_residual,cov_dim_28,278,-0.34627300122326815,-0.5355578960074276,0.5355578960074276,0.34627300122326815
gpr_mean,cov_dim_52,278,-0.5436382540584037,-0.7464225341283177,0.7464225341283177,0.5436382540584037
gpr_mean,cov_dim_56,278,-0.5436382540584037,-0.7464225341283177,0.7464225341283177,0.5436382540584037
gpr_mean,cov_dim_69,278,-0.5436382540584037,-0.7464225341283177,0.7464225341283177,0.5436382540584037
gpr_mean,cov_dim_53,278,0.5408149576288798,0.736873075428472,0.736873075428472,0.5408149576288798
gpr_mean,cov_dim_28,278,-0.4612816091790538,-0.7134598276035711,0.7134598276035711,0.4612816091790538
gpr_mean,cov_dim_40,278,-0.4612816091790538,-0.7134598276035711,0.7134598276035711,0.4612816091790538
gpr_mean,cov_dim_60,278,-0.4612816091790538,-0.7134598276035711,0.7134598276035711,0.4612816091790538
gpr_mean,cov_dim_65,278,-0.4612816091790538,-0.7134598276035711,0.7134598276035711,0.4612816091790538
gpr_mean,cov_dim_57,278,0.5219386346301936,0.707825082191324,0.707825082191324,0.5219386346301936
gpr_mean,cov_dim_18,278,-0.44940639433738083,-0.6996513540336908,0.6996513540336908,0.44940639433738083
gpr_mean,child_out_degree_mean,254,0.4071713027896576,0.6840738601973237,0.6840738601973237,0.4071713027896576
gpr_mean,sibling_count,278,0.46980932709784506,0.673830095444107,0.673830095444107,0.46980932709784506
gpr_std,knn10_mean_dist,278,0.7360008278072189,0.9027988519710349,0.9027988519710349,0.7360008278072189
gpr_std,knn25_mean_dist,278,0.7373290326367925,0.8819510145787102,0.8819510145787102,0.7373290326367925
gpr_std,knn5_mean_dist,278,0.7465132500466154,0.8752485187835152,0.8752485187835152,0.7465132500466154
gpr_std,knn10_max_dist,278,0.6493785485483968,0.8643226211263008,0.8643226211263008,0.6493785485483968
gpr_std,knn5_max_dist,278,0.6902913906178849,0.8439417565947246,0.8439417565947246,0.6902913906178849
gpr_std,nn_dist,278,0.7107246717663462,0.7901386813862723,0.7901386813862723,0.7107246717663462
gpr_std,cov_dim_28,278,-0.45842724893486936,-0.6400809864260806,0.6400809864260806,0.45842724893486936
gpr_std,cov_dim_40,278,-0.45842724893486936,-0.6400809864260806,0.6400809864260806,0.45842724893486936
gpr_std,cov_dim_60,278,-0.45842724893486936,-0.6400809864260806,0.6400809864260806,0.45842724893486936
gpr_std,cov_dim_65,278,-0.45842724893486936,-0.6400809864260806,0.6400809864260806,0.45842724893486936
gpr_std,cov_dim_18,278,-0.4426611619849574,-0.6277921024890638,0.6277921024890638,0.4426611619849574
gpr_std,knn25_max_dist,278,0.5893019270201584,0.6201970547809418,0.6201970547809418,0.5893019270201584
true_out_degree,out_degree_children,278,1.0,1.0,1.0,1.0
true_out_degree,undirected_degree,278,0.9839681635063536,0.9513686772566641,0.9513686772566641,0.9839681635063536
true_out_degree,child_cov_spread_anisotropy,172,0.5591629485710436,0.9263059653307267,0.9263059653307267,0.5591629485710436
true_out_degree,sibling_count,278,0.8888592332687355,0.7989643136204356,0.7989643136204356,0.8888592332687355
true_out_degree,in_degree_parents,278,0.9267297676202705,0.7896129194284063,0.7896129194284063,0.9267297676202705
true_out_degree,child_cov_dist_std,254,0.4808442686352316,0.7768146347183171,0.7768146347183171,0.4808442686352316
true_out_degree,parent_out_degree_mean,235,0.5728025919533406,0.7100865289774824,0.7100865289774824,0.5728025919533406
true_out_degree,child_out_degree_mean,254,0.40524752074775783,0.6968740546902862,0.6968740546902862,0.40524752074775783
true_out_degree,neighbor_cov_dist_std,278,0.3854675660869997,0.6518323707684174,0.6518323707684174,0.3854675660869997
true_out_degree,descendant_count,278,0.34970179581264565,0.645132366588335,0.645132366588335,0.34970179581264565
true_out_degree,child_cov_dist_max,254,0.4126047607576126,0.5610790773850949,0.5610790773850949,0.4126047607576126
true_out_degree,cov_dim_53,278,0.40912046358453574,0.5160790130284066,0.5160790130284066,0.40912046358453574
