target,feature,n,pearson,spearman,abs_spearman,abs_pearson
gpr_abs_residual,undirected_degree,278,0.6996337393593067,0.6016359800051856,0.6016359800051856,0.6996337393593067
gpr_abs_residual,child_out_degree_mean,254,0.38407597364089974,0.5962500954599543,0.5962500954599543,0.38407597364089974
gpr_abs_residual,out_degree_children,278,0.708937352360451,0.5700737755555532,0.5700737755555532,0.708937352360451
gpr_abs_residual,sibling_count,278,0.6447733201160575,0.5681072664102766,0.5681072664102766,0.6447733201160575
gpr_abs_residual,cov_dim_52,278,-0.415893002790996,-0.5661474813644131,0.5661474813644131,0.415893002790996
gpr_abs_residual,cov_dim_56,278,-0.415893002790996,-0.5661474813644131,0.5661474813644131,0.415893002790996
gpr_abs_residual,cov_dim_69,278,-0.415893002790996,-0.5661474813644131,0.5661474813644131,0.415893002790996
gpr_abs_residual,parent_out_degree_mean,235,0.4830145364463211,0.5615214564157397,0.5615214564157397,0.4830145364463211
gpr_abs_residual,cov_dim_53,278,0.4149110959121062,0.5556244681127838,0.5556244681127838,0.4149110959121062
gpr_abs_residual,cov_dim_57,278,0.41304564568441904,0.5480391511939395,0.5480391511939395,0.41304564568441904
gpr_abs_residual,child_cov_spread_anisotropy,172,0.3179302703657601,0.5439163586544175,0.5439163586544175,0.3179302703657601
gpr_abs_residual,cov_dim_28,278,-0.34627300122326815,-0.5355578960074276,0.5355578960074276,0.34627300122326815
gpr_abs_residual,cov_dim_40,278,-0.34627300122326815,-0.5355578960074276,0.5355578960074276,0.34627300122326815
gpr_abs_residual,cov_dim_60,278,-0.34627300122326815,-0.5355578960074276,0.5355578960074276,0.34627300122326815
gpr_abs_residual,cov_dim_65,278,-0.34627300122326815,-0.5355578960074276,0.5355578960074276,0.34627300122326815
gpr_abs_residual,child_cov_dist_std,254,0.3621914783798874,0.5287442720360205,0.5287442720360205,0.3621914783798874
gpr_abs_residual,in_degree_parents,278,0.6418749637537304,0.5277034590210001,0.5277034590210001,0.6418749637537304
gpr_abs_residual,cov_dim_18,278,-0.34152397612824065,-0.5246034483413364,0.5246034483413364,0.34152397612824065
gpr_abs_residual,child_cov_dist_max,254,0.3675823191137255,0.4824786962898457,0.4824786962898457,0.3675823191137255
gpr_abs_residual,cov_dim_70,278,0.3368484240859833,0.44531229392887806,0.44531229392887806,0.3368484240859833
gpr_abs_residual,cov_dim_61,278,0.32484775022397394,0.4360699447848276,0.4360699447848276,0.32484775022397394
gpr_abs_residual,neighbor_cov_dist_std,278,0.280135533962311,0.42035647819885597,0.42035647819885597,0.280135533962311
gpr_abs_residual,descendant_count,278,0.35136840207992603,0.41054360652736366,0.41054360652736366,0.35136840207992603
gpr_abs_residual,cov_dim_67,278,0.2669469490200467,0.4051085436881817,0.4051085436881817,0.2669469490200467
gpr_abs_residual,cov_dim_41,278,0.20318145348046926,0.4043245240336506,0.4043245240336506,0.20318145348046926
gpr_abs_residual,knn10_mean_dist,278,0.22828813581226942,0.3768086423841965,0.3768086423841965,0.22828813581226942
gpr_abs_residual,knn5_mean_dist,278,0.22004139391244895,0.3572805456063325,0.3572805456063325,0.22004139391244895
gpr_abs_residual,knn5_max_dist,278,0.21594650800122137,0.35587881196138627,0.35587881196138627,0.21594650800122137
gpr_abs_residual,cov_dim_26,278,0.34432072225603266,0.34162229815113604,0.34162229815113604,0.34432072225603266
gpr_abs_residual,cov_dim_29,278,0.10464621355297907,0.33524503340067924,0.33524503340067924,0.10464621355297907
gpr_abs_residual,knn10_max_dist,278,0.2018357907806982,0.33486008736493916,0.33486008736493916,0.2018357907806982
gpr_abs_residual,knn25_mean_dist,278,0.1885109483779299,0.3240977393809018,0.3240977393809018,0.1885109483779299
gpr_abs_residual,cov_dim_04,278,-0.17904727251302877,-0.31666010895470353,0.31666010895470353,0.17904727251302877
gpr_abs_residual,cov_dim_11,278,-0.17904727251302877,-0.31666010895470353,0.31666010895470353,0.17904727251302877
gpr_abs_residual,cov_dim_15,278,-0.17904727251302877,-0.31666010895470353,0.31666010895470353,0.17904727251302877
gpr_abs_residual,depth,224,0.13061873260794005,0.30613685418077663,0.30613685418077663,0.13061873260794005
gpr_abs_residual,cov_dim_24,278,-0.22559102940282286,-0.3001543478838022,0.3001543478838022,0.22559102940282286
gpr_abs_residual,cov_dim_20,278,0.16107022725889483,0.2968925116777998,0.2968925116777998,0.16107022725889483
gpr_abs_residual,cov_dim_37,278,0.25393867358019934,0.28439873038173513,0.28439873038173513,0.25393867358019934
gpr_abs_residual,cov_dim_13,278,0.20500938105882355,0.28400500471781287,0.28400500471781287,0.20500938105882355
gpr_abs_residual,nn_dist,278,0.18268227931706615,0.2829514536212335,0.2829514536212335,0.18268227931706615
